This is a training script for a diffusion model on brain MRI slices. It discovers thin subjects, preprocesses volumes, builds a disk cache of slices, and trains a UNet-based diffusion model using PyTorch and W&B for logging.
/workspace/Brats/venv/lib/python3.12/site-packages/nibabel/optpkg.py:104: UserWarning: A NumPy version >=1.22.4 and <2.3.0 is required for this version of SciPy (detected version 2.4.3)
  pkg = __import__(name, fromlist=fromlist)
<frozen importlib._bootstrap_external>:1297: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
21:56:41 | INFO | Log file : /workspace/Brats/logs/train_base_model_20260404_215641.log
21:56:41 | INFO | Data root: /workspace/Brats/brain_only
21:56:41 | INFO | Device   : cuda | PyTorch: 2.11.0+cu128
21:56:48 | INFO | Cache index found, skipping build...
21:56:49 | INFO | Dataset: 39063 slices
21:56:49 | INFO | Dataset: 4729 slices
21:56:49 | INFO | Train subjects: 204 | slices: 39063 | batches/epoch: 4882
21:56:49 | INFO | Val   subjects: 25   | slices: 4729   | batches/epoch: 592
21:56:49 | INFO | Total params: 42.86 M
21:56:49 | INFO | Schedulers ready.
21:56:49 | INFO | N_EPOCHS: 100 | LR: 0.0001 | Batch: 8
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: rahul23082001jha to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run pkp0qkmj
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /workspace/Brats/wandb/run-20260404_215651-pkp0qkmj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run light-firefly-10
wandb: ⭐️ View project at https://wandb.ai/rahul23082001jha/Brats
wandb: 🚀 View run at https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
21:56:58 | INFO | W&B run: https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
22:11:22 | INFO | E0002 | step 1900/4882 | loss=0.00246 | grad=0.034 | t=[81,927]
22:11:34 | INFO | E0002 | step 2000/4882 | loss=0.00396 | grad=0.031 | t=[95,974]
22:11:45 | INFO | E0002 | step 2100/4882 | loss=0.00073 | grad=0.045 | t=[298,998]
22:11:57 | INFO | E0002 | step 2200/4882 | loss=0.00998 | grad=0.031 | t=[37,699]
22:12:09 | INFO | E0002 | step 2300/4882 | loss=0.00198 | grad=0.052 | t=[115,911]
22:12:21 | INFO | E0002 | step 2400/4882 | loss=0.00910 | grad=0.036 | t=[19,953]
22:12:33 | INFO | E0002 | step 2500/4882 | loss=0.00549 | grad=0.048 | t=[43,735]
22:12:44 | INFO | E0002 | step 2600/4882 | loss=0.00747 | grad=0.041 | t=[13,541]
22:12:56 | INFO | E0002 | step 2700/4882 | loss=0.00137 | grad=0.036 | t=[107,836]
22:13:08 | INFO | E0002 | step 2800/4882 | loss=0.00194 | grad=0.029 | t=[139,728]
22:13:19 | INFO | E0002 | step 2900/4882 | loss=0.00118 | grad=0.042 | t=[302,978]
22:13:31 | INFO | E0002 | step 3000/4882 | loss=0.00582 | grad=0.080 | t=[84,905]
22:13:43 | INFO | E0002 | step 3100/4882 | loss=0.01072 | grad=0.080 | t=[11,987]
22:13:55 | INFO | E0002 | step 3200/4882 | loss=0.00515 | grad=0.060 | t=[9,999]
22:14:06 | INFO | E0002 | step 3300/4882 | loss=0.00388 | grad=0.045 | t=[160,874]
22:14:18 | INFO | E0002 | step 3400/4882 | loss=0.01270 | grad=0.024 | t=[16,986]
22:14:30 | INFO | E0002 | step 3500/4882 | loss=0.00218 | grad=0.023 | t=[158,880]
22:14:42 | INFO | E0002 | step 3600/4882 | loss=0.00241 | grad=0.028 | t=[48,929]
22:14:53 | INFO | E0002 | step 3700/4882 | loss=0.00221 | grad=0.033 | t=[136,891]
22:15:05 | INFO | E0002 | step 3800/4882 | loss=0.00245 | grad=0.035 | t=[106,983]
22:15:17 | INFO | E0002 | step 3900/4882 | loss=0.00090 | grad=0.031 | t=[232,984]
22:15:28 | INFO | E0002 | step 4000/4882 | loss=0.00289 | grad=0.049 | t=[87,837]
22:15:40 | INFO | E0002 | step 4100/4882 | loss=0.00637 | grad=0.067 | t=[52,933]
22:15:52 | INFO | E0002 | step 4200/4882 | loss=0.00572 | grad=0.076 | t=[32,973]
22:16:04 | INFO | E0002 | step 4300/4882 | loss=0.00374 | grad=0.043 | t=[78,795]
22:16:15 | INFO | E0002 | step 4400/4882 | loss=0.00379 | grad=0.036 | t=[66,780]
22:16:27 | INFO | E0002 | step 4500/4882 | loss=0.00314 | grad=0.034 | t=[113,991]
22:16:39 | INFO | E0002 | step 4600/4882 | loss=0.00037 | grad=0.017 | t=[441,834]
22:16:50 | INFO | E0002 | step 4700/4882 | loss=0.00290 | grad=0.043 | t=[110,901]
22:17:02 | INFO | E0002 | step 4800/4882 | loss=0.00174 | grad=0.051 | t=[165,830]
22:17:12 | INFO | E0002 | step 4882/4882 | loss=0.00164 | grad=0.023 | t=[211,844]
22:17:38 | INFO | Epoch 0002/100 | train=0.00453 | val=0.02230 | best=0.02478 (e1) | lr=9.99e-05 | steps=4882/4882 | VRAM=0.8/13.5GB | time=599.3s
22:17:38 | INFO |   ★ New best val=0.02230 at epoch 2
22:17:39 | INFO |   Checkpoint saved → diffusion_best_e0002.pt
22:18:00 | INFO |   Uploaded to W&B
22:18:13 | INFO | E0003 | step 0100/4882 | loss=0.00086 | grad=0.038 | t=[105,916]
22:18:24 | INFO | E0003 | step 0200/4882 | loss=0.00463 | grad=0.058 | t=[28,979]
22:18:36 | INFO | E0003 | step 0300/4882 | loss=0.00060 | grad=0.026 | t=[246,980]
22:18:48 | INFO | E0003 | step 0400/4882 | loss=0.00277 | grad=0.028 | t=[101,886]
22:18:59 | INFO | E0003 | step 0500/4882 | loss=0.00190 | grad=0.026 | t=[157,912]
22:19:11 | INFO | E0003 | step 0600/4882 | loss=0.00338 | grad=0.039 | t=[84,817]
22:19:23 | INFO | E0003 | step 0700/4882 | loss=0.00171 | grad=0.050 | t=[118,886]
22:19:35 | INFO | E0003 | step 0800/4882 | loss=0.00361 | grad=0.025 | t=[95,990]
22:19:46 | INFO | E0003 | step 0900/4882 | loss=0.02794 | grad=0.105 | t=[1,616]
22:19:58 | INFO | E0003 | step 1000/4882 | loss=0.00321 | grad=0.048 | t=[47,953]
22:20:10 | INFO | E0003 | step 1100/4882 | loss=0.00848 | grad=0.064 | t=[57,659]
22:20:21 | INFO | E0003 | step 1200/4882 | loss=0.00498 | grad=0.037 | t=[21,914]
22:20:33 | INFO | E0003 | step 1300/4882 | loss=0.00088 | grad=0.024 | t=[272,787]
22:20:45 | INFO | E0003 | step 1400/4882 | loss=0.00348 | grad=0.035 | t=[35,896]
22:20:57 | INFO | E0003 | step 1500/4882 | loss=0.00554 | grad=0.047 | t=[93,785]
22:21:08 | INFO | E0003 | step 1600/4882 | loss=0.00447 | grad=0.039 | t=[91,945]
22:21:20 | INFO | E0003 | step 1700/4882 | loss=0.00059 | grad=0.051 | t=[367,877]
22:21:32 | INFO | E0003 | step 1800/4882 | loss=0.00227 | grad=0.033 | t=[142,965]
22:21:43 | INFO | E0003 | step 1900/4882 | loss=0.00293 | grad=0.020 | t=[96,912]
22:21:55 | INFO | E0003 | step 2000/4882 | loss=0.00216 | grad=0.041 | t=[154,782]
22:22:07 | INFO | E0003 | step 2100/4882 | loss=0.01714 | grad=0.067 | t=[1,953]
22:22:19 | INFO | E0003 | step 2200/4882 | loss=0.00223 | grad=0.035 | t=[105,950]
22:22:30 | INFO | E0003 | step 2300/4882 | loss=0.00630 | grad=0.042 | t=[23,980]
22:22:42 | INFO | E0003 | step 2400/4882 | loss=0.00332 | grad=0.020 | t=[85,867]
22:22:54 | INFO | E0003 | step 2500/4882 | loss=0.01919 | grad=0.033 | t=[3,943]
22:23:05 | INFO | E0003 | step 2600/4882 | loss=0.00130 | grad=0.039 | t=[196,992]
22:23:17 | INFO | E0003 | step 2700/4882 | loss=0.00238 | grad=0.026 | t=[146,997]
22:23:29 | INFO | E0003 | step 2800/4882 | loss=0.00235 | grad=0.020 | t=[131,897]
22:23:41 | INFO | E0003 | step 2900/4882 | loss=0.00146 | grad=0.040 | t=[154,964]
22:23:52 | INFO | E0003 | step 3000/4882 | loss=0.00146 | grad=0.032 | t=[115,915]
